Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,12.03.2022 19:00 - 12.03.2022 20:00 (CET/CEST),0,1388,6991,921,0,902
BZN|SE3,12.03.2022 20:00 - 12.03.2022 21:00 (CET/CEST),0,1383,6991,924,0,965
BZN|SE3,12.03.2022 21:00 - 12.03.2022 22:00 (CET/CEST),0,1349,6991,923,0,1004
BZN|SE3,12.03.2022 22:00 - 12.03.2022 23:00 (CET/CEST),0,1312,6992,897,0,1023
BZN|SE3,12.03.2022 23:00 - 13.03.2022 00:00 (CET/CEST),0,1209,6992,852,0,1015
BZN|SE3,13.03.2022 00:00 - 13.03.2022 01:00 (CET/CEST),0,1047,6992,842,0,937
BZN|SE3,13.03.2022 01:00 - 13.03.2022 02:00 (CET/CEST),0,1020,6992,813,0,848
BZN|SE3,13.03.2022 02:00 - 13.03.2022 03:00 (CET/CEST),0,1045,6992,803,0,797
BZN|SE3,13.03.2022 03:00 - 13.03.2022 04:00 (CET/CEST),0,1061,6993,805,0,719
BZN|SE3,13.03.2022 04:00 - 13.03.2022 05:00 (CET/CEST),0,1055,6993,816,0,658
BZN|SE3,13.03.2022 05:00 - 13.03.2022 06:00 (CET/CEST),0,1116,6992,824,0,588
BZN|SE3,13.03.2022 06:00 - 13.03.2022 07:00 (CET/CEST),0,1129,6992,839,1,564
BZN|SE3,13.03.2022 07:00 - 13.03.2022 08:00 (CET/CEST),0,1141,6992,849,22,511
BZN|SE3,13.03.2022 08:00 - 13.03.2022 09:00 (CET/CEST),0,1154,6992,909,66,451
BZN|SE3,13.03.2022 09:00 - 13.03.2022 10:00 (CET/CEST),0,1106,6991,942,123,356
BZN|SE3,13.03.2022 10:00 - 13.03.2022 11:00 (CET/CEST),0,1058,6992,948,182,222
BZN|SE3,13.03.2022 11:00 - 13.03.2022 12:00 (CET/CEST),0,957,6992,923,218,232
BZN|SE3,13.03.2022 12:00 - 13.03.2022 13:00 (CET/CEST),0,942,6992,912,229,244
BZN|SE3,13.03.2022 13:00 - 13.03.2022 14:00 (CET/CEST),0,931,6991,885,213,271
BZN|SE3,13.03.2022 14:00 - 13.03.2022 15:00 (CET/CEST),0,924,6990,872,169,290
BZN|SE3,13.03.2022 15:00 - 13.03.2022 16:00 (CET/CEST),0,917,6989,865,105,315
BZN|SE3,13.03.2022 16:00 - 13.03.2022 17:00 (CET/CEST),0,985,6988,863,42,403
BZN|SE3,13.03.2022 17:00 - 13.03.2022 18:00 (CET/CEST),0,1135,6987,862,5,599
BZN|SE3,13.03.2022 18:00 - 13.03.2022 19:00 (CET/CEST),0,1214,6986,914,0,826
BZN|SE3,13.03.2022 19:00 - 13.03.2022 20:00 (CET/CEST),0,1214,6988,902,0,973
BZN|SE3,13.03.2022 20:00 - 13.03.2022 21:00 (CET/CEST),0,1173,6989,841,0,1048
BZN|SE3,13.03.2022 21:00 - 13.03.2022 22:00 (CET/CEST),0,1073,6145,829,0,1104
BZN|SE3,13.03.2022 22:00 - 13.03.2022 23:00 (CET/CEST),0,1020,6064,773,0,1053
BZN|SE3,13.03.2022 23:00 - 14.03.2022 00:00 (CET/CEST),0,999,6065,801,0,1049
BZN|SE3,14.03.2022 00:00 - 14.03.2022 01:00 (CET/CEST),0,1019,6247,789,0,995
BZN|SE3,14.03.2022 01:00 - 14.03.2022 02:00 (CET/CEST),0,971,6267,792,0,899
BZN|SE3,14.03.2022 02:00 - 14.03.2022 03:00 (CET/CEST),0,1038,6280,798,0,823
BZN|SE3,14.03.2022 03:00 - 14.03.2022 04:00 (CET/CEST),0,1065,6282,830,0,732
BZN|SE3,14.03.2022 04:00 - 14.03.2022 05:00 (CET/CEST),0,1072,6647,859,0,706
BZN|SE3,14.03.2022 05:00 - 14.03.2022 06:00 (CET/CEST),0,1081,6787,901,0,705
BZN|SE3,14.03.2022 06:00 - 14.03.2022 07:00 (CET/CEST),0,1128,6787,932,1,720
BZN|SE3,14.03.2022 07:00 - 14.03.2022 08:00 (CET/CEST),0,1141,6807,951,29,669
BZN|SE3,14.03.2022 08:00 - 14.03.2022 09:00 (CET/CEST),0,1166,6804,997,78,571
BZN|SE3,14.03.2022 09:00 - 14.03.2022 10:00 (CET/CEST),0,1167,6802,1018,136,437
BZN|SE3,14.03.2022 10:00 - 14.03.2022 11:00 (CET/CEST),0,1236,6807,1033,197,289
BZN|SE3,14.03.2022 11:00 - 14.03.2022 12:00 (CET/CEST),0,1199,6806,1031,233,258
BZN|SE3,14.03.2022 12:00 - 14.03.2022 13:00 (CET/CEST),0,1124,6809,1022,242,302
BZN|SE3,14.03.2022 13:00 - 14.03.2022 14:00 (CET/CEST),0,1183,6808,1008,225,296
BZN|SE3,14.03.2022 14:00 - 14.03.2022 15:00 (CET/CEST),0,1179,6806,992,179,308
BZN|SE3,14.03.2022 15:00 - 14.03.2022 16:00 (CET/CEST),0,1182,6806,984,113,329
BZN|SE3,14.03.2022 16:00 - 14.03.2022 17:00 (CET/CEST),0,1186,6876,966,46,380
BZN|SE3,14.03.2022 17:00 - 14.03.2022 18:00 (CET/CEST),0,1204,6875,913,6,499
BZN|SE3,14.03.2022 18:00 - 14.03.2022 19:00 (CET/CEST),0,1229,6906,918,0,619
BZN|SE3,14.03.2022 19:00 - 14.03.2022 20:00 (CET/CEST),0,1360,6907,943,0,683
BZN|SE3,14.03.2022 20:00 - 14.03.2022 21:00 (CET/CEST),0,1377,6906,971,0,706
BZN|SE3,14.03.2022 21:00 - 14.03.2022 22:00 (CET/CEST),0,1342,6967,956,0,731
BZN|SE3,14.03.2022 22:00 - 14.03.2022 23:00 (CET/CEST),0,1157,6968,948,0,710
BZN|SE3,14.03.2022 23:00 - 15.03.2022 00:00 (CET/CEST),0,1082,6968,909,0,668
BZN|SE3,15.03.2022 00:00 - 15.03.2022 01:00 (CET/CEST),0,1118,6969,854,0,596
BZN|SE3,15.03.2022 01:00 - 15.03.2022 02:00 (CET/CEST),0,1106,6968,904,0,480
BZN|SE3,15.03.2022 02:00 - 15.03.2022 03:00 (CET/CEST),0,1100,6968,926,0,393
BZN|SE3,15.03.2022 03:00 - 15.03.2022 04:00 (CET/CEST),0,1101,6970,935,0,296
BZN|SE3,15.03.2022 04:00 - 15.03.2022 05:00 (CET/CEST),0,1129,6968,952,0,275
BZN|SE3,15.03.2022 05:00 - 15.03.2022 06:00 (CET/CEST),0,1115,6967,965,0,295
BZN|SE3,15.03.2022 06:00 - 15.03.2022 07:00 (CET/CEST),0,1136,6968,979,1,334
BZN|SE3,15.03.2022 07:00 - 15.03.2022 08:00 (CET/CEST),0,1069,6960,997,21,327
BZN|SE3,15.03.2022 08:00 - 15.03.2022 09:00 (CET/CEST),0,1081,6948,1022,53,270
BZN|SE3,15.03.2022 09:00 - 15.03.2022 10:00 (CET/CEST),0,1085,6948,1037,103,175
BZN|SE3,15.03.2022 10:00 - 15.03.2022 11:00 (CET/CEST),0,1071,6948,1035,148,129
BZN|SE3,15.03.2022 11:00 - 15.03.2022 12:00 (CET/CEST),0,1062,6968,1094,177,142
BZN|SE3,15.03.2022 12:00 - 15.03.2022 13:00 (CET/CEST),0,1058,6973,1099,183,120
BZN|SE3,15.03.2022 13:00 - 15.03.2022 14:00 (CET/CEST),0,1055,6987,1102,167,122
BZN|SE3,15.03.2022 14:00 - 15.03.2022 15:00 (CET/CEST),0,1054,6989,1090,128,119
BZN|SE3,15.03.2022 15:00 - 15.03.2022 16:00 (CET/CEST),0,1049,6989,1065,78,125
BZN|SE3,15.03.2022 16:00 - 15.03.2022 17:00 (CET/CEST),0,1048,6989,1016,31,154
BZN|SE3,15.03.2022 17:00 - 15.03.2022 18:00 (CET/CEST),0,1046,6988,1002,4,215
BZN|SE3,15.03.2022 18:00 - 15.03.2022 19:00 (CET/CEST),0,1042,6989,1052,0,306
BZN|SE3,15.03.2022 19:00 - 15.03.2022 20:00 (CET/CEST),0,1207,6989,1022,0,370
BZN|SE3,15.03.2022 20:00 - 15.03.2022 21:00 (CET/CEST),0,1228,6988,1002,0,373
BZN|SE3,15.03.2022 21:00 - 15.03.2022 22:00 (CET/CEST),0,1211,6987,1012,0,353
BZN|SE3,15.03.2022 22:00 - 15.03.2022 23:00 (CET/CEST),0,1174,6988,1012,0,341
BZN|SE3,15.03.2022 23:00 - 16.03.2022 00:00 (CET/CEST),0,1138,6988,1025,0,296
BZN|SE3,16.03.2022 00:00 - 16.03.2022 01:00 (CET/CEST),0,1196,6991,1019,0,248
BZN|SE3,16.03.2022 01:00 - 16.03.2022 02:00 (CET/CEST),0,1151,6991,971,0,230
BZN|SE3,16.03.2022 02:00 - 16.03.2022 03:00 (CET/CEST),0,1148,6990,968,0,207
BZN|SE3,16.03.2022 03:00 - 16.03.2022 04:00 (CET/CEST),0,1151,6990,968,0,194
BZN|SE3,16.03.2022 04:00 - 16.03.2022 05:00 (CET/CEST),0,1118,6990,977,0,175
BZN|SE3,16.03.2022 05:00 - 16.03.2022 06:00 (CET/CEST),0,1107,6990,987,0,159
BZN|SE3,16.03.2022 06:00 - 16.03.2022 07:00 (CET/CEST),0,1144,6988,1000,1,145
BZN|SE3,16.03.2022 07:00 - 16.03.2022 08:00 (CET/CEST),0,1136,6987,1050,14,124
BZN|SE3,16.03.2022 08:00 - 16.03.2022 09:00 (CET/CEST),0,1145,6990,1096,37,98
BZN|SE3,16.03.2022 09:00 - 16.03.2022 10:00 (CET/CEST),0,1144,6990,1119,74,82
BZN|SE3,16.03.2022 10:00 - 16.03.2022 11:00 (CET/CEST),0,1134,6990,1160,116,68
BZN|SE3,16.03.2022 11:00 - 16.03.2022 12:00 (CET/CEST),0,1138,6989,1144,155,73
BZN|SE3,16.03.2022 12:00 - 16.03.2022 13:00 (CET/CEST),0,1105,6986,1126,172,73
BZN|SE3,16.03.2022 13:00 - 16.03.2022 14:00 (CET/CEST),0,1105,6989,1104,165,86
BZN|SE3,16.03.2022 14:00 - 16.03.2022 15:00 (CET/CEST),0,1151,6987,1012,133,100
BZN|SE3,16.03.2022 15:00 - 16.03.2022 16:00 (CET/CEST),0,1149,6987,997,82,108
BZN|SE3,16.03.2022 16:00 - 16.03.2022 17:00 (CET/CEST),0,1290,6986,971,34,140
BZN|SE3,16.03.2022 17:00 - 16.03.2022 18:00 (CET/CEST),0,1191,6986,977,5,210
BZN|SE3,16.03.2022 18:00 - 16.03.2022 19:00 (CET/CEST),0,1199,6988,980,1,300
BZN|SE3,16.03.2022 19:00 - 16.03.2022 20:00 (CET/CEST),0,1307,6988,988,0,373
BZN|SE3,16.03.2022 20:00 - 16.03.2022 21:00 (CET/CEST),0,1321,6985,979,0,439
BZN|SE3,16.03.2022 21:00 - 16.03.2022 22:00 (CET/CEST),0,1303,6983,977,0,542
BZN|SE3,16.03.2022 22:00 - 16.03.2022 23:00 (CET/CEST),0,1268,6985,951,0,597
BZN|SE3,16.03.2022 23:00 - 17.03.2022 00:00 (CET/CEST),0,1131,6985,870,0,615
BZN|SE3,17.03.2022 00:00 - 17.03.2022 01:00 (CET/CEST),0,1061,6984,800,0,652
BZN|SE3,17.03.2022 01:00 - 17.03.2022 02:00 (CET/CEST),0,990,6983,743,0,642
BZN|SE3,17.03.2022 02:00 - 17.03.2022 03:00 (CET/CEST),0,971,6984,707,0,649
BZN|SE3,17.03.2022 03:00 - 17.03.2022 04:00 (CET/CEST),0,971,6983,694,0,671
BZN|SE3,17.03.2022 04:00 - 17.03.2022 05:00 (CET/CEST),0,966,6983,715,0,723
BZN|SE3,17.03.2022 05:00 - 17.03.2022 06:00 (CET/CEST),0,854,6983,776,0,772
BZN|SE3,17.03.2022 06:00 - 17.03.2022 07:00 (CET/CEST),0,1014,6982,881,1,878
BZN|SE3,17.03.2022 07:00 - 17.03.2022 08:00 (CET/CEST),0,1060,6980,926,14,924
BZN|SE3,17.03.2022 08:00 - 17.03.2022 09:00 (CET/CEST),0,1168,6974,960,45,857
BZN|SE3,17.03.2022 09:00 - 17.03.2022 10:00 (CET/CEST),0,1168,6973,970,81,858
BZN|SE3,17.03.2022 10:00 - 17.03.2022 11:00 (CET/CEST),0,1137,6973,992,128,906
BZN|SE3,17.03.2022 11:00 - 17.03.2022 12:00 (CET/CEST),0,1050,6975,963,150,1090
BZN|SE3,17.03.2022 12:00 - 17.03.2022 13:00 (CET/CEST),0,946,6975,931,152,1355
BZN|SE3,17.03.2022 13:00 - 17.03.2022 14:00 (CET/CEST),0,879,6976,877,130,1619
BZN|SE3,17.03.2022 14:00 - 17.03.2022 15:00 (CET/CEST),0,867,6976,855,95,1843
BZN|SE3,17.03.2022 15:00 - 17.03.2022 16:00 (CET/CEST),0,860,6975,815,54,2031
BZN|SE3,17.03.2022 16:00 - 17.03.2022 17:00 (CET/CEST),0,857,6976,766,19,2162
BZN|SE3,17.03.2022 17:00 - 17.03.2022 18:00 (CET/CEST),0,857,6974,762,2,2264
BZN|SE3,17.03.2022 18:00 - 17.03.2022 19:00 (CET/CEST),0,968,6974,765,1,2353
BZN|SE3,17.03.2022 19:00 - 17.03.2022 20:00 (CET/CEST),0,925,6975,737,0,2373
BZN|SE3,17.03.2022 20:00 - 17.03.2022 21:00 (CET/CEST),0,950,6975,728,0,2272
BZN|SE3,17.03.2022 21:00 - 17.03.2022 22:00 (CET/CEST),0,937,6973,708,0,2181
BZN|SE3,17.03.2022 22:00 - 17.03.2022 23:00 (CET/CEST),0,918,6972,669,0,2055
BZN|SE3,17.03.2022 23:00 - 18.03.2022 00:00 (CET/CEST),0,913,6972,643,0,1973
BZN|SE3,18.03.2022 00:00 - 18.03.2022 01:00 (CET/CEST),0,687,6977,622,0,2039
BZN|SE3,18.03.2022 01:00 - 18.03.2022 02:00 (CET/CEST),0,608,6978,598,0,1988
BZN|SE3,18.03.2022 02:00 - 18.03.2022 03:00 (CET/CEST),0,612,6980,598,0,1893
BZN|SE3,18.03.2022 03:00 - 18.03.2022 04:00 (CET/CEST),0,614,6980,593,0,1763
BZN|SE3,18.03.2022 04:00 - 18.03.2022 05:00 (CET/CEST),0,615,6982,615,0,1644
BZN|SE3,18.03.2022 05:00 - 18.03.2022 06:00 (CET/CEST),0,637,6983,709,0,1604
BZN|SE3,18.03.2022 06:00 - 18.03.2022 07:00 (CET/CEST),0,718,6981,868,2,1581
BZN|SE3,18.03.2022 07:00 - 18.03.2022 08:00 (CET/CEST),0,831,6981,943,16,1539
BZN|SE3,18.03.2022 08:00 - 18.03.2022 09:00 (CET/CEST),0,996,6978,991,49,1487
BZN|SE3,18.03.2022 09:00 - 18.03.2022 10:00 (CET/CEST),0,917,6979,974,88,1462
BZN|SE3,18.03.2022 10:00 - 18.03.2022 11:00 (CET/CEST),0,867,6980,982,132,1416
BZN|SE3,18.03.2022 11:00 - 18.03.2022 12:00 (CET/CEST),0,825,6980,980,165,1371
BZN|SE3,18.03.2022 12:00 - 18.03.2022 13:00 (CET/CEST),0,800,6980,962,184,1221
BZN|SE3,18.03.2022 13:00 - 18.03.2022 14:00 (CET/CEST),0,755,6981,960,178,1171
BZN|SE3,18.03.2022 14:00 - 18.03.2022 15:00 (CET/CEST),0,731,6982,958,152,1081
BZN|SE3,18.03.2022 15:00 - 18.03.2022 16:00 (CET/CEST),0,787,6982,948,105,994
BZN|SE3,18.03.2022 16:00 - 18.03.2022 17:00 (CET/CEST),0,921,6981,947,49,918
BZN|SE3,18.03.2022 17:00 - 18.03.2022 18:00 (CET/CEST),0,1115,6981,951,9,859
BZN|SE3,18.03.2022 18:00 - 18.03.2022 19:00 (CET/CEST),0,1182,6980,968,2,831
BZN|SE3,18.03.2022 19:00 - 18.03.2022 20:00 (CET/CEST),0,1161,6981,971,0,802
BZN|SE3,18.03.2022 20:00 - 18.03.2022 21:00 (CET/CEST),0,996,6981,946,0,698
BZN|SE3,18.03.2022 21:00 - 18.03.2022 22:00 (CET/CEST),0,989,6982,928,0,642
BZN|SE3,18.03.2022 22:00 - 18.03.2022 23:00 (CET/CEST),0,946,6981,857,0,464
BZN|SE3,18.03.2022 23:00 - 19.03.2022 00:00 (CET/CEST),0,862,6982,849,0,430
BZN|SE3,19.03.2022 00:00 - 19.03.2022 01:00 (CET/CEST),0,1042,6983,844,0,383
BZN|SE3,19.03.2022 01:00 - 19.03.2022 02:00 (CET/CEST),0,1040,6982,840,0,381
BZN|SE3,19.03.2022 02:00 - 19.03.2022 03:00 (CET/CEST),0,907,6982,838,0,426
BZN|SE3,19.03.2022 03:00 - 19.03.2022 04:00 (CET/CEST),0,920,6981,836,0,505
BZN|SE3,19.03.2022 04:00 - 19.03.2022 05:00 (CET/CEST),0,917,6984,839,0,599
BZN|SE3,19.03.2022 05:00 - 19.03.2022 06:00 (CET/CEST),0,962,6983,853,0,752
BZN|SE3,19.03.2022 06:00 - 19.03.2022 07:00 (CET/CEST),0,975,6983,907,4,886
BZN|SE3,19.03.2022 07:00 - 19.03.2022 08:00 (CET/CEST),0,901,6982,971,33,966
BZN|SE3,19.03.2022 08:00 - 19.03.2022 09:00 (CET/CEST),0,801,6983,955,91,956
BZN|SE3,19.03.2022 09:00 - 19.03.2022 10:00 (CET/CEST),0,748,6983,937,156,844
BZN|SE3,19.03.2022 10:00 - 19.03.2022 11:00 (CET/CEST),0,645,6983,929,218,707
BZN|SE3,19.03.2022 11:00 - 19.03.2022 12:00 (CET/CEST),0,579,6983,919,250,641
BZN|SE3,19.03.2022 12:00 - 19.03.2022 13:00 (CET/CEST),0,561,6983,886,259,631
BZN|SE3,19.03.2022 13:00 - 19.03.2022 14:00 (CET/CEST),0,558,6980,886,239,536
BZN|SE3,19.03.2022 14:00 - 19.03.2022 15:00 (CET/CEST),0,559,6978,886,193,510
BZN|SE3,19.03.2022 15:00 - 19.03.2022 16:00 (CET/CEST),0,567,6972,859,125,469
BZN|SE3,19.03.2022 16:00 - 19.03.2022 17:00 (CET/CEST),0,682,6936,886,55,538
BZN|SE3,19.03.2022 17:00 - 19.03.2022 18:00 (CET/CEST),0,951,6938,935,9,606
BZN|SE3,19.03.2022 18:00 - 19.03.2022 19:00 (CET/CEST),0,1106,6967,947,2,661
BZN|SE3,19.03.2022 19:00 - 19.03.2022 20:00 (CET/CEST),0,1108,6972,952,0,648
BZN|SE3,19.03.2022 20:00 - 19.03.2022 21:00 (CET/CEST),0,1060,6974,950,0,565
BZN|SE3,19.03.2022 21:00 - 19.03.2022 22:00 (CET/CEST),0,1026,6975,929,0,474
BZN|SE3,19.03.2022 22:00 - 19.03.2022 23:00 (CET/CEST),0,646,6975,878,0,379
BZN|SE3,19.03.2022 23:00 - 20.03.2022 00:00 (CET/CEST),0,564,6976,854,0,307
BZN|SE3,20.03.2022 00:00 - 20.03.2022 01:00 (CET/CEST),0,623,6977,839,0,247
BZN|SE3,20.03.2022 01:00 - 20.03.2022 02:00 (CET/CEST),0,624,6976,832,0,208
BZN|SE3,20.03.2022 02:00 - 20.03.2022 03:00 (CET/CEST),0,627,6977,818,0,176
BZN|SE3,20.03.2022 03:00 - 20.03.2022 04:00 (CET/CEST),0,741,6979,829,0,156
BZN|SE3,20.03.2022 04:00 - 20.03.2022 05:00 (CET/CEST),0,780,6977,846,0,134
BZN|SE3,20.03.2022 05:00 - 20.03.2022 06:00 (CET/CEST),0,782,6975,871,0,120
BZN|SE3,20.03.2022 06:00 - 20.03.2022 07:00 (CET/CEST),0,791,6975,902,4,131
BZN|SE3,20.03.2022 07:00 - 20.03.2022 08:00 (CET/CEST),0,598,6974,909,34,143
BZN|SE3,20.03.2022 08:00 - 20.03.2022 09:00 (CET/CEST),0,551,6973,839,92,149
BZN|SE3,20.03.2022 09:00 - 20.03.2022 10:00 (CET/CEST),0,567,6972,833,156,141
BZN|SE3,20.03.2022 10:00 - 20.03.2022 11:00 (CET/CEST),0,594,6974,838,217,105
BZN|SE3,20.03.2022 11:00 - 20.03.2022 12:00 (CET/CEST),0,595,6976,846,248,82
BZN|SE3,20.03.2022 12:00 - 20.03.2022 13:00 (CET/CEST),0,619,6976,854,256,84
BZN|SE3,20.03.2022 13:00 - 20.03.2022 14:00 (CET/CEST),0,618,6975,845,239,96
BZN|SE3,20.03.2022 14:00 - 20.03.2022 15:00 (CET/CEST),0,610,6974,826,195,114
BZN|SE3,20.03.2022 15:00 - 20.03.2022 16:00 (CET/CEST),0,614,6917,825,128,141
BZN|SE3,20.03.2022 16:00 - 20.03.2022 17:00 (CET/CEST),0,681,6917,843,59,195
BZN|SE3,20.03.2022 17:00 - 20.03.2022 18:00 (CET/CEST),0,841,6917,863,12,296
BZN|SE3,20.03.2022 18:00 - 20.03.2022 19:00 (CET/CEST),0,1110,6917,879,2,447
BZN|SE3,20.03.2022 19:00 - 20.03.2022 20:00 (CET/CEST),0,1120,6917,906,0,586
BZN|SE3,20.03.2022 20:00 - 20.03.2022 21:00 (CET/CEST),0,1010,6917,905,0,679
BZN|SE3,20.03.2022 21:00 - 20.03.2022 22:00 (CET/CEST),0,950,6917,850,0,771
BZN|SE3,20.03.2022 22:00 - 20.03.2022 23:00 (CET/CEST),0,744,6917,829,0,850
BZN|SE3,20.03.2022 23:00 - 21.03.2022 00:00 (CET/CEST),0,615,6917,809,0,894
BZN|SE3,21.03.2022 00:00 - 21.03.2022 01:00 (CET/CEST),0,595,6972,816,0,969
BZN|SE3,21.03.2022 01:00 - 21.03.2022 02:00 (CET/CEST),0,584,6974,792,0,990
BZN|SE3,21.03.2022 02:00 - 21.03.2022 03:00 (CET/CEST),0,582,6975,795,0,936
BZN|SE3,21.03.2022 03:00 - 21.03.2022 04:00 (CET/CEST),0,601,6976,808,0,882
BZN|SE3,21.03.2022 04:00 - 21.03.2022 05:00 (CET/CEST),0,643,6973,860,0,863
BZN|SE3,21.03.2022 05:00 - 21.03.2022 06:00 (CET/CEST),0,907,6971,953,0,830
BZN|SE3,21.03.2022 06:00 - 21.03.2022 07:00 (CET/CEST),0,970,6971,1019,3,829
BZN|SE3,21.03.2022 07:00 - 21.03.2022 08:00 (CET/CEST),0,1045,6971,1039,36,781
BZN|SE3,21.03.2022 08:00 - 21.03.2022 09:00 (CET/CEST),0,1048,6974,1059,94,601
BZN|SE3,21.03.2022 09:00 - 21.03.2022 10:00 (CET/CEST),0,1043,6972,1122,157,383
BZN|SE3,21.03.2022 10:00 - 21.03.2022 11:00 (CET/CEST),0,1029,6972,1068,216,289
BZN|SE3,21.03.2022 11:00 - 21.03.2022 12:00 (CET/CEST),0,1023,6973,1079,248,306
BZN|SE3,21.03.2022 12:00 - 21.03.2022 13:00 (CET/CEST),0,989,6972,1066,255,377
BZN|SE3,21.03.2022 13:00 - 21.03.2022 14:00 (CET/CEST),0,765,6972,993,238,426
BZN|SE3,21.03.2022 14:00 - 21.03.2022 15:00 (CET/CEST),0,752,6971,959,197,466
BZN|SE3,21.03.2022 15:00 - 21.03.2022 16:00 (CET/CEST),0,762,6972,953,129,461
BZN|SE3,21.03.2022 16:00 - 21.03.2022 17:00 (CET/CEST),0,943,6971,952,62,445
BZN|SE3,21.03.2022 17:00 - 21.03.2022 18:00 (CET/CEST),0,1091,6967,990,13,507
BZN|SE3,21.03.2022 18:00 - 21.03.2022 19:00 (CET/CEST),0,1109,6971,984,3,647
BZN|SE3,21.03.2022 19:00 - 21.03.2022 20:00 (CET/CEST),0,1184,6973,990,0,794
BZN|SE3,21.03.2022 20:00 - 21.03.2022 21:00 (CET/CEST),0,1197,6974,992,0,881
BZN|SE3,21.03.2022 21:00 - 21.03.2022 22:00 (CET/CEST),0,1065,6975,979,0,963
BZN|SE3,21.03.2022 22:00 - 21.03.2022 23:00 (CET/CEST),0,877,6972,937,0,940
BZN|SE3,21.03.2022 23:00 - 22.03.2022 00:00 (CET/CEST),0,806,6972,809,0,934
BZN|SE3,22.03.2022 00:00 - 22.03.2022 01:00 (CET/CEST),0,796,6972,756,0,870
BZN|SE3,22.03.2022 01:00 - 22.03.2022 02:00 (CET/CEST),0,797,6970,756,0,821
BZN|SE3,22.03.2022 02:00 - 22.03.2022 03:00 (CET/CEST),0,898,6970,811,0,747
BZN|SE3,22.03.2022 03:00 - 22.03.2022 04:00 (CET/CEST),0,919,6970,872,0,659
BZN|SE3,22.03.2022 04:00 - 22.03.2022 05:00 (CET/CEST),0,1001,6971,926,0,612
BZN|SE3,22.03.2022 05:00 - 22.03.2022 06:00 (CET/CEST),0,1030,6969,959,0,582
BZN|SE3,22.03.2022 06:00 - 22.03.2022 07:00 (CET/CEST),0,1079,6965,998,5,559
BZN|SE3,22.03.2022 07:00 - 22.03.2022 08:00 (CET/CEST),0,1132,6968,1017,35,544
BZN|SE3,22.03.2022 08:00 - 22.03.2022 09:00 (CET/CEST),0,1145,6973,1037,90,402
BZN|SE3,22.03.2022 09:00 - 22.03.2022 10:00 (CET/CEST),0,1156,6973,1035,150,304
BZN|SE3,22.03.2022 10:00 - 22.03.2022 11:00 (CET/CEST),0,1147,6973,1060,204,311
BZN|SE3,22.03.2022 11:00 - 22.03.2022 12:00 (CET/CEST),0,1124,6959,1071,233,459
BZN|SE3,22.03.2022 12:00 - 22.03.2022 13:00 (CET/CEST),0,1084,6964,1057,235,595
BZN|SE3,22.03.2022 13:00 - 22.03.2022 14:00 (CET/CEST),0,975,6969,1054,212,711
BZN|SE3,22.03.2022 14:00 - 22.03.2022 15:00 (CET/CEST),0,926,6970,1016,172,785
BZN|SE3,22.03.2022 15:00 - 22.03.2022 16:00 (CET/CEST),0,939,6971,1000,111,828
BZN|SE3,22.03.2022 16:00 - 22.03.2022 17:00 (CET/CEST),0,1090,6969,995,52,842
BZN|SE3,22.03.2022 17:00 - 22.03.2022 18:00 (CET/CEST),0,1145,6972,1002,10,888
BZN|SE3,22.03.2022 18:00 - 22.03.2022 19:00 (CET/CEST),0,1158,6971,989,2,1013
BZN|SE3,22.03.2022 19:00 - 22.03.2022 20:00 (CET/CEST),0,1226,6970,982,0,1107
BZN|SE3,22.03.2022 20:00 - 22.03.2022 21:00 (CET/CEST),0,1101,6970,994,0,1146
BZN|SE3,22.03.2022 21:00 - 22.03.2022 22:00 (CET/CEST),0,1018,6974,969,0,1180
BZN|SE3,22.03.2022 22:00 - 22.03.2022 23:00 (CET/CEST),0,863,6977,884,0,1200
BZN|SE3,22.03.2022 23:00 - 23.03.2022 00:00 (CET/CEST),0,807,6977,804,0,1137
BZN|SE3,23.03.2022 00:00 - 23.03.2022 01:00 (CET/CEST),0,815,6980,773,0,1089
BZN|SE3,23.03.2022 01:00 - 23.03.2022 02:00 (CET/CEST),0,811,6981,786,0,1048
BZN|SE3,23.03.2022 02:00 - 23.03.2022 03:00 (CET/CEST),0,810,6981,794,0,1031
BZN|SE3,23.03.2022 03:00 - 23.03.2022 04:00 (CET/CEST),0,828,6982,832,0,984
BZN|SE3,23.03.2022 04:00 - 23.03.2022 05:00 (CET/CEST),0,835,6982,915,0,914
BZN|SE3,23.03.2022 05:00 - 23.03.2022 06:00 (CET/CEST),0,986,6982,985,0,859
BZN|SE3,23.03.2022 06:00 - 23.03.2022 07:00 (CET/CEST),0,1090,6981,991,6,773
BZN|SE3,23.03.2022 07:00 - 23.03.2022 08:00 (CET/CEST),0,1141,6982,1016,33,690
BZN|SE3,23.03.2022 08:00 - 23.03.2022 09:00 (CET/CEST),0,1159,6982,1034,82,526
BZN|SE3,23.03.2022 09:00 - 23.03.2022 10:00 (CET/CEST),15,1165,6982,1049,142,389
BZN|SE3,23.03.2022 10:00 - 23.03.2022 11:00 (CET/CEST),0,1141,6981,1069,205,402
BZN|SE3,23.03.2022 11:00 - 23.03.2022 12:00 (CET/CEST),0,1097,6981,1063,246,395
