Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST),0,791,6411,919,0,1170
BZN|SE3,03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST),0,789,6411,936,0,1179
BZN|SE3,03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST),0,789,6412,937,0,1195
BZN|SE3,03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST),0,794,6412,960,0,1207
BZN|SE3,03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST),0,735,6411,972,0,1147
BZN|SE3,03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST),0,764,6412,1008,0,1136
BZN|SE3,03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST),0,905,6412,1086,0,1187
BZN|SE3,03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST),0,1157,6411,1090,0,1169
BZN|SE3,03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST),0,1168,6409,1080,0,1201
BZN|SE3,03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST),0,1042,6410,1063,1,1231
BZN|SE3,03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST),0,1083,6411,1075,3,1272
BZN|SE3,03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST),0,1086,6411,1067,3,1293
BZN|SE3,03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST),0,1091,6411,1059,2,1377
BZN|SE3,03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST),0,1178,6412,1064,0,1473
BZN|SE3,03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST),0,1206,6410,1081,0,1604
BZN|SE3,03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST),0,1230,6409,1101,0,1727
BZN|SE3,03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST),0,1241,6408,1109,0,1821
BZN|SE3,03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST),0,1242,6410,1109,0,1934
BZN|SE3,03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST),0,1281,6408,1113,0,2002
BZN|SE3,03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST),0,1162,6410,1101,0,2059
BZN|SE3,03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST),0,921,6411,1074,0,2125
BZN|SE3,03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST),0,855,6411,1016,0,2157
BZN|SE3,03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST),0,834,6411,953,0,2180
BZN|SE3,04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST),0,832,6405,877,0,2149
BZN|SE3,04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST),0,834,6405,856,0,2112
BZN|SE3,04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST),0,842,6405,848,0,2074
BZN|SE3,04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST),0,860,6419,849,0,2090
